Cuenta,Unidad de Negocio,Moneda,Año,Escenario,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic
Ventas,Yerba Mate,USD,2023,Actual,"$900,000","$920,000","$940,000","$960,000","$980,000","$1,000,000","$1,020,000","$1,040,000","$1,060,000","$1,080,000","$1,100,000","$1,120,000"
Costo de Ventas,Yerba Mate,USD,2023,Actual,"-$450,000","-$460,000","-$470,000","-$480,000","-$490,000","-$500,000","-$510,000","-$520,000","-$530,000","-$540,000","-$550,000","-$560,000"
Gasto de Cosecha,Yerba Mate,USD,2023,Actual,"-$110,000","-$112,000","-$114,000","-$116,000","-$118,000","-$120,000","-$122,000","-$124,000","-$126,000","-$128,000","-$130,000","-$132,000"
Gasto de Procesamiento,Yerba Mate,USD,2023,Actual,"-$70,000","-$72,000","-$74,000","-$76,000","-$78,000","-$80,000","-$82,000","-$84,000","-$86,000","-$88,000","-$90,000","-$92,000"
Gasto de Empaque,Yerba Mate,USD,2023,Actual,"-$35,000","-$36,000","-$37,000","-$38,000","-$39,000","-$40,000","-$41,000","-$42,000","-$43,000","-$44,000","-$45,000","-$46,000"
Gasto de Transporte,Yerba Mate,USD,2023,Actual,"-$55,000","-$56,000","-$57,000","-$58,000","-$59,000","-$60,000","-$61,000","-$62,000","-$63,000","-$64,000","-$65,000","-$66,000"
Gasto de Marketing,Yerba Mate,USD,2023,Actual,"-$22,000","-$23,000","-$24,000","-$25,000","-$26,000","-$27,000","-$28,000","-$29,000","-$30,000","-$31,000","-$32,000","-$33,000"
Gasto de Mano de Obra,Yerba Mate,USD,2023,Actual,"-$140,000","-$145,000","-$150,000","-$155,000","-$160,000","-$165,000","-$170,000","-$175,000","-$180,000","-$185,000","-$190,000","-$195,000"
Gasto de Mantenimiento,Yerba Mate,USD,2023,Actual,"-$12,000","-$13,000","-$14,000","-$15,000","-$16,000","-$17,000","-$18,000","-$19,000","-$20,000","-$21,000","-$22,000","-$23,000"
Gasto de Servicios,Yerba Mate,USD,2023,Actual,"-$6,000","-$6,500","-$7,000","-$7,500","-$8,000","-$8,500","-$9,000","-$9,500","-$10,000","-$10,500","-$11,000","-$11,500"
Ventas,Yerba Mate,USD,2023,Presupuesto,"$1,000,000","$1,050,000","$1,100,000","$1,150,000","$1,200,000","$1,250,000","$1,300,000","$1,350,000","$1,400,000","$1,450,000","$1,500,000","$1,550,000"
Costo de Ventas,Yerba Mate,USD,2023,Presupuesto,"-$500,000","-$525,000","-$550,000","-$575,000","-$600,000","-$625,000","-$650,000","-$675,000","-$700,000","-$725,000","-$750,000","-$775,000"
Gasto de Cosecha,Yerba Mate,USD,2023,Presupuesto,"-$125,000","-$130,000","-$135,000","-$140,000","-$145,000","-$150,000","-$155,000","-$160,000","-$165,000","-$170,000","-$175,000","-$180,000"
Gasto de Procesamiento,Yerba Mate,USD,2023,Presupuesto,"-$75,000","-$78,000","-$80,000","-$82,000","-$85,000","-$88,000","-$90,000","-$92,000","-$95,000","-$98,000","-$100,000","-$102,000"
Gasto de Empaque,Yerba Mate,USD,2023,Presupuesto,"-$40,000","-$42,000","-$44,000","-$46,000","-$48,000","-$50,000","-$52,000","-$54,000","-$56,000","-$58,000","-$60,000","-$62,000"
Gasto de Transporte,Yerba Mate,USD,2023,Presupuesto,"-$60,000","-$63,000","-$66,000","-$69,000","-$72,000","-$75,000","-$78,000","-$81,000","-$84,000","-$87,000","-$90,000","-$93,000"
Gasto de Marketing,Yerba Mate,USD,2023,Presupuesto,"-$25,000","-$26,000","-$27,000","-$28,000","-$29,000","-$30,000","-$31,000","-$32,000","-$33,000","-$34,000","-$35,000","-$36,000"
Gasto de Mano de Obra,Yerba Mate,USD,2023,Presupuesto,"-$150,000","-$155,000","-$160,000","-$165,000","-$170,000","-$175,000","-$180,000","-$185,000","-$190,000","-$195,000","-$200,000","-$205,000"
Gasto de Mantenimiento,Yerba Mate,USD,2023,Presupuesto,"-$15,000","-$16,000","-$17,000","-$18,000","-$19,000","-$20,000","-$21,000","-$22,000","-$23,000","-$24,000","-$25,000","-$26,000"
Gasto de Servicios,Yerba Mate,USD,2023,Presupuesto,"-$7,500","-$8,000","-$8,500","-$9,000","-$9,500","-$10,000","-$10,500","-$11,000","-$11,500","-$12,000","-$12,500","-$13,000"
Ventas,Yerba Mate,USD,2023,Pronóstico,"$1,050,000","$1,080,000","$1,110,000","$1,140,000","$1,170,000","$1,200,000","$1,230,000","$1,260,000","$1,290,000","$1,320,000","$1,350,000","$1,380,000"
Costo de Ventas,Yerba Mate,USD,2023,Pronóstico,"-$525,000","-$540,000","-$555,000","-$570,000","-$585,000","-$600,000","-$615,000","-$630,000","-$645,000","-$660,000","-$675,000","-$690,000"
Gasto de Cosecha,Yerba Mate,USD,2023,Pronóstico,"-$130,000","-$135,000","-$140,000","-$145,000","-$150,000","-$155,000","-$160,000","-$165,000","-$170,000","-$175,000","-$180,000","-$185,000"
Gasto de Procesamiento,Yerba Mate,USD,2023,Pronóstico,"-$78,000","-$80,000","-$82,000","-$84,000","-$86,000","-$88,000","-$90,000","-$92,000","-$94,000","-$96,000","-$98,000","-$100,000"
Gasto de Empaque,Yerba Mate,USD,2023,Pronóstico,"-$42,000","-$44,000","-$46,000","-$48,000","-$50,000","-$52,000","-$54,000","-$56,000","-$58,000","-$60,000","-$62,000","-$64,000"
Gasto de Transporte,Yerba Mate,USD,2023,Pronóstico,"-$63,000","-$66,000","-$69,000","-$72,000","-$75,000","-$78,000","-$81,000","-$84,000","-$87,000","-$90,000","-$93,000","-$96,000"
Gasto de Marketing,Yerba Mate,USD,2023,Pronóstico,"-$26,000","-$27,500","-$29,000","-$30,500","-$32,000","-$33,500","-$35,000","-$36,500","-$38,000","-$39,500","-$41,000","-$42,500"
Gasto de Mano de Obra,Yerba Mate,USD,2023,Pronóstico,"-$155,000","-$160,000","-$165,000","-$170,000","-$175,000","-$180,000","-$185,000","-$190,000","-$195,000","-$200,000","-$205,000","-$210,000"
Gasto de Mantenimiento,Yerba Mate,USD,2023,Pronóstico,"-$16,000","-$17,000","-$18,000","-$19,000","-$20,000","-$21,000","-$22,000","-$23,000","-$24,000","-$25,000","-$26,000","-$27,000"
Gasto de Servicios,Yerba Mate,USD,2023,Pronóstico,"-$8,000","-$8,500","-$9,000","-$9,500","-$10,000","-$10,500","-$11,000","-$11,500","-$12,000","-$12,500","-$13,000","-$13,500"
